"DATE","AXIOMA_ID","NAME","PRICE","CURRENCY","TSO","RETURN","COUNTRY"
"2023-10-04","QRTHJYRJ1","ISU CHEMICAL",14610,"KRW",22722739,-.0512987,"KR"
"2023-10-04","F76YAXGF6","MINMETALS LAND LTD",.36,"HKD",3346908037,0,"HK"
"2023-10-04","KWSBKGHR0","DONGKUK INDUSTRIES",4810,"KRW",54244482,-.02136317,"KR"
"2023-10-04","6A6DRNCN6","ASAHIMAS FLAT GLAS",5525,"IDR",434000000,-.0045045,"ID"
"2023-10-04","Q62AL2UK1","AYER HOLDINGS BHD",7.2,"MYR",74853075,-.03871828,"MY"
"2023-10-04","KNN4TYT58","IGB BHD",2.13,"MYR",1358139887,-.01388875,"MY"
"2023-10-04","2YDMNSKV6","CHINA WATER INDUST",.17,"HKD",2873609649,-.0449436,"HK"
"2023-10-04","92LBLRLG0","RED HILL MINERALS",4.4,"AUD",63828149,-.06382983,"AU"
"2023-10-04","P9Z44N764","GUH HOLDINGS BHD",.39,"MYR",281360240,-.01265823,"MY"
"2023-10-04","UF2UBJ9L8","SHL CONSOLIDATED",2.33,"MYR",242123725,0,"MY"
"2023-10-04","QNDCK64Q6","SUCACO(SUP CBL MFG",9000,"IDR",205583400,-.00826446,"ID"
"2023-10-04","Q7MQL47A6","ADMIRALTY RESOR NL",.006,"AUD",1303579153,0,"AU"
"2023-10-04","9WGRA5714","JENTAYU SUSTAINABL",.95,"MYR",420219700,.049723769,"MY"
"2023-10-04","W1H5HPGK0","PT PAKUWON JATI",428,"IDR",4.8160E+10,-.02283105,"ID"
"2023-10-04","UDK33NHH3","PANSAR BERHAD",.64,"MYR",469688175,.015873,"MY"
"2023-10-04","DK4ZQTQS1","RICH DEVELOPMENT CO., LTD.",9.35,"TWD",743993000,-.00213447,"TW"
"2023-10-04","4Z342ZX37","HAAD THIP",16.1,"THB",401921000,.025478153,"TH"
"2023-10-04","2YLW2C8W5","TYCOONS GROUP ENT. CO., LTD.",12.95,"TWD",337168000,-.00384615,"TW"
"2023-10-04","HXK8DV3L0","YEO HIAP SENG",.655,"SGD",618619164,-.01503767,"SG"
"2023-10-04","CVYCCZK87","DFCC BANK PLC",86,"LKR",421948655,.016548463,"LK"
"2023-10-04","XVSCDMGT8","TAKE SOLUTIONS",21.15,"INR",147934000,-.02309442,"IN"
"2023-10-04","KN8JKYG71","LAI SUN GARMT INTL",1.05,"HKD",883373901,0,"HK"
"2023-10-04","2RD1TRPB2","RECTRON LTD.",17.85,"TWD",166303000,.002808989,"TW"
"2023-10-04","3V2PRT877","VE WONG CORPORATION",40.85,"TWD",240000000,-.01089588,"TW"
"2023-10-04","CNVJVTDC5","JC CHEMICAL CO LTD",7150,"KRW",22267814,-.02985075,"KR"
"2023-10-04","89PP45R64","XTEP INTERNATIONAL",7.04,"HKD",2638492151,-.03296701,"HK"
"2023-10-04","FGZ3A5D90","BYD ELECTRONIC INT",35.6,"HKD",2253204500,-.01111092,"HK"
"2023-10-04","K925BHW36","NEWAY GROUP HLDGS",.26,"HKD",253359456,.044176623,"HK"
"2023-10-04","G7LN91UN1","JSW HOLDINGS LIMIT",4900.3,"INR",11099625,-.02289118,"IN"
"2023-10-04","Z8ASTZUH5","KT&G CORPORATION",31,"USD",274584994,-.02515736,"LU"
"2023-10-04","D3JACVWK8","CENTURY PROP GROUP",.33,"PHP",1.1600E+10,-.01492534,"PH"
"2023-10-04","J7GNNCH25","BAJAJ AUTO LTD",4918.6016,"INR",282957358,-.01950537,"IN"
"2023-10-04","TTUQZLTG6","CHIA HER INDUSTRIAL CO., LTD",14.95,"TWD",80871000,-.00993377,"TW"
"2023-10-04","SJV4P94U1","RED MOUNTAIN MININ",.005,"AUD",2673576037,.249999531,"AU"
"2023-10-04","1HB2J65P3","BANK BTPN TBK",2690,"IDR",8149106869,-.0037037,"ID"
"2023-10-04","384Q1VAF6","YUAN JEN ENTERPRISES CO., LTD.",20.25,"TWD",181830000,-.004914,"TW"
"2023-10-04","UM863D9Y4","SIMPLEX INFRASTRUC",63.7,"INR",57142820,.015139394,"IN"
"2023-10-04","LKMPS9KK9","KUMPULAN H&L HIGH",.865,"MYR",121836255,-.01142856,"MY"
"2023-10-04","XN1RX5452","GOLDLION HLDGS",1,"HKD",978436035,.010101,"HK"
"2023-10-04","4YBRFUG51","ABICO AVY CO., LTD.",25.3,"TWD",168959000,.026369168,"TW"
"2023-10-04","XCN3XHHS5","MAOYE INTL HOLDS L",.163,"HKD",5140326000,0,"HK"
"2023-10-04","P2HTMVQU2","HABIB BANK",95.13,"PKR",1466852508,.056882683,"PK"
"2023-10-04","24JC7TYS6","EMPIRE EAST LAND",.133,"PHP",1.4676E+10,-.02205853,"PH"
"2023-10-04","D3SMCLSV5","MGB BERHAD",.695,"MYR",591652605,-.00714284,"MY"
"2023-10-04","BM1VGD4H5","HANCHANG CO",400,"KRW",93032033,.136363636,"KR"
"2023-10-04","HXF3DZNF9","SINOTRUK (HK) LTD",14.4,"HKD",2760993339,-.02834008,"HK"
"2023-10-04","Z1MU3Q2H1","JINDAL DRILLING",645.15,"INR",28981104,-.02279606,"IN"
"2023-10-04","KCLKLLYJ8","DAWOOD HERCULES CO",110.07,"PKR",481287116,-.00775255,"PK"
"2023-10-04","FQWTWSFH0","WAN HWA ENTERPRISE CO., LTD.",12.3,"TWD",449968000,-.01204819,"TW"
"2023-10-04","RSZCZ3TM3","MKH BERHAD",1.35,"MYR",586548168,-.01459818,"MY"
"2023-10-04","FNHCJV5X5","IMDEX LTD",1.485,"AUD",508776713,-.0419358,"AU"
"2023-10-04","1G9DRZL16","PARKSON HOLDINGS",.29,"MYR",1148902050,0,"MY"
"2023-10-04","JFF6W96A6","HL GLOBAL ENTERPRI",.235,"SGD",96334254,0,"SG"
"2023-10-04","TPZ5VXMS4","SADBHAV ENGINEERIN",15.2,"INR",171570800,.048275862,"IN"
"2023-10-04","K7BLBM369","MERMAID MARITIME P",.075,"SGD",1413329000,-.0384618,"SG"
"2023-10-04","4T67L9TH2","HWA TAI INDS BHD",.44,"MYR",74833270,0,"MY"
"2023-10-04","MPKSYH178","BRIGADE ENTERPRISE",577.5,"INR",230850476,-.00653716,"IN"
"2023-10-04","UP2W35K12","NZ OIL & GAS",.36,"NZD",223950838,-.0136986,"NZ"
"2023-10-04","UKP8HJZU6","CHINA FIN ONLINE CO LTD ADR",.0001,"USD",2442000,0,"US"
"2023-10-04","KJW8G12B0","PARAGON TECHNOLOGIES CO., LTD.",35.1,"TWD",84042000,0,"TW"
"2023-10-04","4UH6B69G0","SOUTH CHINA FINANC",.36,"HKD",301277070,0,"HK"
"2023-10-04","TN15MVX33","COURAGE INVESTMENT",.013,"SGD",1097703568,0,"SG"
"2023-10-04","UX2XTSTG3","MIC ELECTRONICS LT",28.5,"INR",221446343,.049723989,"IN"
"2023-10-04","MGVPYR7R0","BAJAJ FINSERV LTD",1532.5501,"INR",1595488813,-.01825694,"IN"
"2023-10-04","Q6WBXXRC7","QUINTAIN STEEL CO., LTD.",13.4,"TWD",446875000,-.02189781,"TW"
"2023-10-04","VVW3HDTG5","BAIRAHA FARMS",191.25,"LKR",17600000,0,"LK"
"2023-10-04","AHC7JBKM0","PAKISTAN REINS CO",6.03,"PKR",900000000,.004999967,"PK"
"2023-10-04","ASDSRQD86","MULTIPOLAR TBK",82,"IDR",1.6649E+10,-.03529412,"ID"
"2023-10-04","RY1RUT142","FORMOSA ADVANCED TECHNOLOGIES CO., LTD.",38.25,"TWD",442222000,-.00649351,"TW"
"2023-10-04","1K7MCSMP7","ITE TECH. INC.",159.5,"TWD",161080000,.003144654,"TW"
"2023-10-04","W5THQX6X8","SCOTT TECHNOLOGY",3.25,"NZD",81198794,0,"NZ"
"2023-10-04","4497MA610","KUKDO CHEMICAL",50500,"KRW",9010616,-.02884615,"KR"
"2023-10-04","8N2ZMDKC3","TROPICANA CORP",1.26,"MYR",2297938882,-.01562461,"MY"
